Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02955013


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2955013;1;01/12/2017;1;63,5;259,2;23;7;1;1;1;;0;0,0;35,6;62,5;0,0;0,0;0,0;0,0;0,0;12,8;0,0;0,0;0,0;0,0;0,0;0,0;5,1;33,5;0,0;0,0;0,0;0,0;0,0;63,5;0,0;0,0;0,0;0,0;0,0;0,0;46,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/11/2017;1;37,2;147,6;9;6;1;1;1;;0;0,0;0,0;32,8;35,4;0,0;0,0;0,0;0,0;37,2;12,3;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,5;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2955013;1;01/10/2017;1;135,3;250,3;19;9;1;1;1;;0;0,0;24,5;2,6;0,0;0,0;0,0;0,0;0,0;2,2;0,0;15,4;42,8;7,1;0,0;0,0;0,0;0,0;0,0;135,3;0,0;7,5;0,0;0,0;0,0;12,9;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/09/2017;1;42,1;182,0;14;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;14,8;0,0;0,0;0,0;2,4;34,1;27,5;0,0;42,1;18,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,9;0,0;0,0;0,0;29,1;5,3;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2955013;1;01/08/2017;1;74,4;210,8;12;12;1;1;1;;0;0,0;2,8;3,6;0,0;0,0;0,0;0,0;12,3;0,0;0,0;23,6;74,4;7,7;3,1;0,0;0,0;0,0;0,0;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;62,6;0,0;2,4;10,7;3,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/07/2017;1;23,3;49,6;17;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;22,1;0,0;0,0;0,0;0,0;23,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/06/2017;1;63,8;80,1;8;5;1;1;1;;0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;63,8;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;2,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2955013;1;01/05/2017;1;94,8;273,5;13;12;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,9;0,0;0,0;8,5;94,8;35,6;0,0;0,0;0,0;0,0;3,6;0,0;0,0;0,0;1,2;7,5;0,8;43,2;25,8;0,0;7,8;0,0;26,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/04/2017;1;104,5;259,1;20;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;13,4;0,0;0,0;34,7;48,5;33,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,1;104,5;0,0;0,0;0,0;0,0;9,3;8,5;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2955013;1;01/03/2017;1;57,2;114,0;10;4;1;1;1;;0;0,0;0,0;0,0;22,3;0,0;0,0;0,0;0,0;0,0;57,2;0,0;15,2;0,0;0,0;0,0;19,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
