Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:03055005


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
3055005;2;01/07/1978;1;80,0;197,4;26;8;1;1;0;1324,90002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,8;0,0;0,0;0,0;51,0;1,2;6,2;0,0;0,0;15,8;8,0;0,0;0,0;0,0;0,0;80,0;0,0;20,4;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/08/1978;1;20,0;43,0;1;5;1;1;0;1324,90002441406;1;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,2;0,0;1,4;12,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/09/1978;1;38,2;73,4;14;7;1;1;0;1324,90002441406;1;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,8;0,0;0,0;0,0;0,0;0,0;38,2;1,2;0,0;0,0;0,0;0,0;8,4;1,0;0,0;0,0;0,0;0,0;0,0;0,0;20,8;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3055005;2;01/10/1978;1;79,2;187,3;27;9;1;1;0;1324,90002441406;1;0,0;0,0;7,2;34,0;0,0;0,0;2,1;0,0;2,0;0,0;0,0;0,0;0,0;13,8;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;14,8;0,0;79,2;0,0;30,2;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/11/1978;1;40,2;203,6;18;10;1;1;0;1324,90002441406;1;0,0;0,0;18,2;25,0;0,0;0,0;0,0;0,0;0,0;16,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;40,2;0,0;8,2;13,8;11,0;2,6;0,0;0,0;40,2;28,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3055005;2;01/12/1978;1;26,0;52,8;4;5;1;1;0;1324,90002441406;1;0,0;0,0;0,0;26,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/01/1979;1;9,8;18,2;25;2;1;1;0;1329,30004882812;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,4;9,8;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/02/1979;1;28,8;96,8;13;7;1;1;0;1329,30004882812;1;0,0;0,0;0,0;0,0;0,0;0,0;16,4;0,0;0,0;0,0;0,0;4,0;28,8;0,0;0,0;0,0;15,8;5,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;20,4;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
3055005;2;01/03/1979;1;32,6;48,2;6;4;1;1;0;1329,30004882812;1;0,0;0,0;0,0;0,0;7,0;32,6;0,0;0,0;7,8;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/04/1979;1;67,0;101,3;15;6;1;1;0;1329,30004882812;1;0,0;0,0;0,0;0,0;6,1;17,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,0;0,0;1,0;0,0;0,0;1,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
